[2025-09-06 12:55:15,493] 15 root INFO - Initilize the data ingestion
[2025-09-06 12:55:21,487] 61 root INFO - Performed train test split on dataframe
[2025-09-06 12:55:21,492] 67 root INFO - Exporting train and test file path
[2025-09-06 12:55:21,624] 73 root INFO - Exported Training and Testing file path:
[2025-09-06 12:55:21,625] 17 root INFO - Data Ingestion Completed
[2025-09-06 12:55:21,635] 22 root INFO - Initiate the data validation
[2025-09-06 12:55:21,720] 34 root INFO - Required no. of columns: 31
[2025-09-06 12:55:21,720] 35 root INFO - Data frame has columns: 32
[2025-09-06 12:55:21,723] 34 root INFO - Required no. of columns: 31
[2025-09-06 12:55:21,723] 35 root INFO - Data frame has columns: 32
[2025-09-06 12:55:21,993] 24 root INFO - Data Validation Completed
[2025-09-06 12:55:21,993] 28 root INFO - Data Transformation Started
[2025-09-06 12:55:21,993] 47 root INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-06 12:55:21,993] 49 root INFO - Starting Data Transformation
[2025-09-06 12:55:22,062] 36 root INFO - Entered get_data_transformer_object method of Transformation class
[2025-09-06 12:55:22,063] 39 root INFO - Initializing KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-06 12:55:22,087] 46 root INFO - Entered the save_object method of  Mainutils class
[2025-09-06 12:55:22,092] 50 root INFO - Exited the save_object method of MainUtils class
[2025-09-06 12:55:22,094] 31 root INFO - Data Transformation Completed
[2025-09-06 12:55:22,095] 34 root INFO - Model Training started
[2025-09-06 12:55:29,221] 46 root INFO - Entered the save_object method of  Mainutils class
[2025-09-06 12:55:29,237] 50 root INFO - Exited the save_object method of MainUtils class
